Date,Adj Close,Close,High,Low,Open,Volume
2021-07-14,29.37,31.0,31.86,28.6,29.02,31978100
2021-07-15,30.27,31.95,33.19,29.36,30.79,9410000
2021-07-16,30.5,32.2,32.24,30.35,32.0,2654500
2021-07-19,29.08,30.7,32.14,30.28,31.22,1528300
2021-07-20,28.96,30.57,30.87,29.53,30.81,1404000
2021-07-21,28.41,29.99,31.4,29.72,30.89,1305200
2021-07-22,28.42,30.0,30.31,29.15,30.0,885100
2021-07-23,27.94,29.5,30.42,29.42,29.99,1799300
2021-07-26,27.25,28.77,29.75,28.77,29.5,2070200
2021-07-27,26.9,28.4,28.65,27.78,28.49,2151100
2021-07-28,26.37,27.84,28.64,27.84,28.64,1086300
2021-07-29,26.52,28.0,28.2,27.01,27.72,3683000
2021-07-30,26.04,27.49,28.0,26.51,28.0,1461600
2021-08-02,26.33,27.8,28.73,27.5,27.54,581700
2021-08-03,26.56,28.04,28.57,27.0,27.89,591600
2021-08-04,26.9,28.4,28.87,27.8,28.04,636700
2021-08-05,26.33,27.8,29.5,27.68,28.3,750700
2021-08-06,26.71,28.2,28.25,27.84,27.95,738200
2021-08-09,26.52,28.0,28.49,27.65,28.25,421000
2021-08-10,26.43,27.9,28.59,27.82,27.82,198600
2021-08-11,26.52,28.0,28.0,27.49,27.92,563900
2021-08-12,25.58,27.0,27.85,27.0,27.85,882100
2021-08-13,25.72,27.15,27.59,26.18,26.98,1034800
2021-08-16,24.3,25.65,27.09,25.39,26.53,1278000
2021-08-17,25.25,26.66,27.24,24.66,25.58,2939000
2021-08-18,25.12,26.52,27.14,25.82,26.65,607500
2021-08-19,26.19,27.65,28.0,25.22,25.93,1678300
2021-08-20,26.62,28.1,29.85,27.02,27.21,1118400
2021-08-23,26.28,27.74,29.03,27.03,28.9,546500
2021-08-24,26.52,28.0,28.49,27.6,28.08,537000
2021-08-25,25.96,27.4,28.17,27.13,27.87,18195500
2021-08-26,25.66,27.09,27.39,26.5,27.35,723700
2021-08-27,25.67,27.1,27.53,26.51,27.18,1333300
2021-08-30,25.58,27.0,27.5,26.37,26.86,1228700
2021-08-31,25.58,27.0,27.06,26.56,26.98,1044800
2021-09-01,25.58,27.0,27.4,26.56,27.24,628600
2021-09-02,24.77,26.15,26.99,26.11,26.83,548100
2021-09-03,24.58,25.95,26.49,25.32,26.3,1040800
2021-09-06,24.71,26.09,26.53,25.67,25.67,272400
2021-09-08,23.68,25.0,26.0,24.88,25.91,1110700
2021-09-09,23.68,25.0,25.23,24.7,25.0,1292700
2021-09-10,24.7,26.07,26.09,24.95,24.96,726600
2021-09-13,25.85,27.29,27.43,26.1,26.31,927800
2021-09-14,25.49,26.91,27.26,26.4,27.26,798500
2021-09-15,25.13,26.53,26.76,26.0,26.76,460100
2021-09-16,25.1,26.5,26.5,25.31,26.25,1307500
2021-09-17,25.1,26.5,26.64,25.53,26.26,857100
2021-09-20,24.16,25.5,26.25,25.12,26.0,905000
2021-09-21,24.53,25.9,26.26,25.31,25.51,1262400
2021-09-22,24.87,26.25,26.41,25.96,26.24,637700
2021-09-23,25.1,26.5,26.6,26.01,26.01,752900
2021-09-24,24.91,26.3,26.44,25.85,26.19,1022700
2021-09-27,24.13,25.47,26.16,25.27,26.02,768100
2021-09-28,23.89,25.22,25.31,24.53,25.21,2480100
2021-09-29,23.68,25.0,25.5,24.5,25.04,629800
2021-09-30,24.25,25.6,25.6,25.01,25.19,844000
2021-10-01,24.43,25.79,25.79,25.06,25.57,663500
2021-10-04,23.36,24.66,25.64,24.66,25.64,1127000
2021-10-05,23.63,24.95,24.95,23.65,24.7,1206900
2021-10-06,22.84,24.11,24.67,23.4,24.67,1901800
2021-10-07,23.19,24.48,24.98,24.03,24.2,758600
2021-10-08,23.3,24.6,25.2,24.6,24.7,583200
2021-10-11,23.11,24.4,24.7,23.97,24.6,418400
2021-10-13,23.02,24.3,24.7,24.21,24.3,563100
2021-10-14,22.97,24.25,24.57,24.22,24.3,332200
2021-10-15,23.2,24.49,24.54,23.78,24.13,724000
2021-10-18,22.49,23.74,24.37,23.74,24.16,438800
2021-10-19,22.26,23.5,23.66,23.06,23.51,1775100
2021-10-20,22.17,23.4,23.53,23.18,23.51,622200
2021-10-21,21.0,22.17,23.05,21.77,23.05,889800
2021-10-22,19.81,20.91,22.21,19.93,22.01,2655700
2021-10-25,22.01,23.24,23.24,20.92,20.92,1243600
2021-10-26,20.56,21.7,22.92,21.31,22.91,914200
2021-10-27,20.55,21.69,22.5,21.44,21.78,774700
2021-10-28,19.8,20.9,21.63,20.74,21.48,675300
2021-10-29,19.11,20.17,21.0,20.06,20.52,980800
2021-11-01,19.71,20.81,21.15,20.37,20.5,641100
2021-11-03,19.9,21.01,21.54,20.53,20.53,1659100
2021-11-04,19.87,20.98,21.35,20.59,21.15,653600
2021-11-05,19.63,20.72,21.3,20.15,21.3,1890800
2021-11-08,19.24,20.31,20.79,20.19,20.78,427500
