Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,8.28,11.33,11.33,10.37,10.4,766200
2015-09-04,8.4,11.5,11.52,10.92,11.14,1626900
2015-09-08,8.95,12.25,12.25,11.26,11.46,1078500
2015-09-09,8.57,11.73,12.25,11.67,12.25,965400
2015-09-10,8.54,11.7,11.8,11.33,11.33,859200
2015-09-11,8.64,11.83,12.26,11.65,11.67,601200
2015-09-14,8.79,12.03,12.08,11.67,11.84,1224600
2015-09-15,8.88,12.17,12.25,11.85,11.9,1245900
2015-09-16,8.74,11.97,12.5,11.97,12.18,552600
2015-09-17,8.96,12.27,12.46,11.84,11.84,701400
2015-09-18,8.91,12.2,12.46,12.13,12.27,564000
2015-09-21,8.6,11.78,12.37,11.67,12.37,503700
2015-09-22,8.68,11.88,11.93,11.49,11.75,366000
2015-09-23,8.49,11.62,11.98,11.5,11.93,1079700
2015-09-24,8.71,11.93,11.93,11.38,11.56,689100
2015-09-25,8.87,12.15,12.15,11.88,12.0,337200
2015-09-28,8.76,12.0,12.12,11.72,12.12,521700
2015-09-29,9.22,12.62,12.62,11.87,12.0,925200
2015-09-30,9.54,13.07,13.15,12.77,12.77,2545200
2015-10-01,9.44,12.93,13.2,12.8,13.06,977100
2015-10-02,9.59,13.13,13.35,12.72,12.85,1310100
2015-10-05,9.49,13.0,13.32,12.87,13.32,623400
2015-10-06,10.09,13.82,13.82,13.02,13.03,962400
2015-10-07,10.08,13.8,14.18,13.62,13.8,1112400
2015-10-08,10.0,13.69,14.03,13.39,13.92,774900
2015-10-09,10.44,14.29,14.29,13.42,13.73,669000
2015-10-13,10.14,13.88,14.3,13.84,14.08,520800
2015-10-14,9.85,13.49,14.0,13.37,14.0,558000
2015-10-15,10.18,13.94,13.94,13.51,13.58,611100
2015-10-16,10.42,14.26,14.66,13.81,13.85,858900
2015-10-19,10.34,14.16,14.54,14.03,14.54,637800
2015-10-20,10.54,14.43,14.66,14.26,14.27,798300
2015-10-21,10.83,14.83,14.83,14.34,14.43,372000
2015-10-22,10.97,15.03,15.26,14.66,14.79,529200
2015-10-23,11.18,15.31,15.35,14.92,15.04,890100
2015-10-26,10.64,14.57,15.44,14.47,15.4,869400
2015-10-27,10.53,14.43,14.72,14.33,14.45,485700
2015-10-28,11.01,15.07,15.09,14.85,14.86,46500
2015-10-29,10.75,14.72,15.11,14.67,14.88,370500
2015-10-30,10.81,14.81,14.81,14.4,14.66,539100
2015-11-03,11.23,15.38,15.77,14.83,14.91,809400
2015-11-04,11.44,15.66,15.97,15.32,15.39,770700
2015-11-05,11.31,15.49,15.74,15.17,15.74,271200
2015-11-06,11.08,15.17,15.5,15.13,15.49,687900
2015-11-09,10.82,14.82,15.29,14.73,14.98,273900
2015-11-10,11.3,15.47,15.47,14.75,14.91,588600
2015-11-11,11.08,15.17,15.43,15.12,15.42,692100
2015-11-12,11.08,15.17,15.39,15.15,15.22,149400
2015-11-13,11.2,15.33,15.42,14.95,15.15,470100
2015-11-16,11.08,15.17,15.44,15.17,15.44,370500
2015-11-17,11.17,15.3,15.48,15.12,15.26,594900
2015-11-18,11.1,15.2,15.3,15.12,15.3,196500
2015-11-19,11.22,15.36,15.36,14.81,15.2,768600
2015-11-23,11.72,16.05,16.06,15.34,15.53,423300
2015-11-24,11.81,16.17,16.28,15.89,16.05,1149600
2015-11-25,11.7,16.02,16.29,15.96,16.08,693600
2015-11-26,11.49,15.73,16.05,15.63,16.02,382200
2015-11-27,11.42,15.63,15.8,15.37,15.59,1220700
2015-11-30,11.69,16.01,16.01,15.52,15.81,535800
2015-12-01,11.79,16.14,16.41,15.65,16.01,993300
2015-12-02,11.81,16.17,16.73,16.15,16.15,728700
2015-12-03,12.05,16.5,16.51,16.02,16.4,753000
2015-12-04,11.72,16.05,16.37,15.84,16.37,423900
2015-12-07,11.72,16.05,16.36,15.93,16.05,825000
2015-12-08,11.55,15.82,16.11,15.62,16.08,503400
2015-12-09,11.47,15.71,16.24,15.71,15.86,631800
2015-12-10,11.53,15.79,15.87,15.55,15.72,716700
2015-12-11,11.65,15.96,16.03,15.56,15.79,350100
2015-12-14,11.16,15.29,16.05,15.29,16.05,398700
2015-12-15,10.89,14.91,15.47,14.7,15.34,943500
2015-12-16,10.98,15.03,15.16,14.72,14.83,850500
2015-12-17,11.07,15.16,15.34,14.97,15.04,728100
2015-12-18,11.16,15.28,15.41,14.73,15.09,474000
2015-12-21,11.39,15.6,15.79,15.19,15.22,677400
2015-12-22,11.19,15.33,15.67,15.17,15.59,868200
2015-12-23,11.13,15.24,15.6,15.16,15.48,481800
2015-12-28,11.31,15.49,15.69,15.22,15.33,536700
2015-12-29,11.05,15.13,15.62,15.02,15.37,613200
2015-12-30,11.15,15.26,15.39,14.96,15.17,463800
2016-01-04,10.82,14.82,15.24,14.6,15.16,570300
2016-01-05,10.82,14.81,14.96,14.35,14.7,721500
2016-01-06,10.88,14.9,15.11,14.56,14.75,581700
2016-01-07,11.14,15.25,15.56,14.35,14.84,742800
2016-01-08,11.08,15.17,15.46,15.04,15.4,428400
2016-01-11,11.02,15.1,15.44,14.85,15.36,1037700
2016-01-12,11.27,15.43,16.18,15.05,15.12,851400
2016-01-13,11.56,15.83,16.0,15.45,15.71,521700
2016-01-14,11.42,15.63,16.0,15.38,16.0,700200
2016-01-15,11.31,15.48,15.82,15.25,15.49,872700
2016-01-18,11.44,15.66,15.66,15.36,15.49,287700
2016-01-19,11.47,15.7,15.94,15.58,15.71,468300
2016-01-20,11.37,15.57,15.86,15.33,15.86,831000
2016-01-21,11.32,15.5,15.67,15.43,15.59,645600
2016-01-22,11.48,15.73,15.87,15.5,15.53,747300
2016-01-26,11.32,15.5,15.76,15.32,15.67,549600
2016-01-27,11.62,15.91,15.96,15.38,15.5,487500
2016-01-28,11.42,15.63,16.0,15.43,15.97,770700
2016-01-29,11.64,15.93,16.33,15.66,15.67,1505400
2016-02-01,11.9,16.3,16.7,15.82,15.82,941700
2016-02-02,11.82,16.19,16.5,16.01,16.28,948600
2016-02-03,11.85,16.23,16.42,16.07,16.23,886500
2016-02-04,11.73,16.07,16.4,16.07,16.31,720900
2016-02-05,11.81,16.17,16.3,16.01,16.05,1080300
2016-02-10,12.04,16.49,16.66,16.07,16.15,821700
2016-02-11,11.92,16.32,16.77,15.89,16.5,1395900
2016-02-12,11.31,15.49,16.21,15.19,16.21,1372800
2016-02-15,11.44,15.67,16.02,15.41,15.62,1334700
2016-02-16,11.17,15.3,15.68,15.12,15.55,972900
2016-02-17,11.32,15.5,15.56,15.36,15.51,569700
2016-02-18,11.46,15.7,15.79,15.38,15.47,691800
2016-02-19,11.62,15.91,16.03,15.68,15.81,704400
2016-02-22,11.83,16.2,16.67,15.88,15.97,1022100
2016-02-23,11.82,16.18,16.51,15.99,16.17,378600
2016-02-24,11.6,15.89,16.3,15.89,16.13,716700
2016-02-25,11.82,16.18,16.33,15.87,15.88,552300
2016-02-26,11.92,16.32,16.43,16.03,16.27,1043400
2016-02-29,11.87,16.26,17.0,16.24,16.3,893700
2016-03-01,12.15,16.64,16.8,16.14,16.26,745200
2016-03-02,12.61,17.26,17.48,16.58,16.61,1436100
2016-03-03,12.54,17.17,17.63,16.72,17.5,1060200
2016-03-04,11.93,16.33,17.09,14.78,17.05,1630800
2016-03-07,11.51,15.77,16.51,15.27,16.44,909600
2016-03-08,11.47,15.71,16.26,15.51,15.67,771300
2016-03-09,11.85,16.23,16.6,15.74,15.74,656700
2016-03-10,11.72,16.04,16.5,15.8,16.5,528900
2016-03-11,11.28,15.44,16.3,15.32,16.3,934500
2016-03-14,11.56,15.83,15.92,15.43,15.46,471900
2016-03-15,11.76,16.1,16.33,15.67,15.84,1032300
2016-03-16,11.73,16.06,16.35,15.77,16.28,868800
2016-03-17,11.68,15.99,16.17,15.88,16.17,860400
2016-03-18,11.32,15.5,16.19,15.44,16.08,1658700
2016-03-21,11.52,15.78,16.34,15.54,15.54,1059000
2016-03-22,11.79,16.15,16.32,15.8,15.8,1444500
2016-03-23,12.09,16.55,16.71,16.05,16.15,1529700
2016-03-24,11.86,16.24,16.61,15.9,16.61,680400
2016-03-28,12.16,16.65,17.02,16.45,16.46,415200
2016-03-29,12.15,16.64,16.83,16.23,16.68,887400
2016-03-30,11.93,16.33,16.82,16.1,16.68,646200
2016-03-31,11.95,16.36,16.35,15.8,16.35,1101000
2016-04-01,11.75,16.09,16.25,15.97,16.13,557400
2016-04-04,10.72,14.68,14.68,14.68,14.68,300
2016-04-05,10.83,14.83,14.98,14.63,14.8,1181400
2016-04-06,10.47,14.33,14.33,14.33,14.33,41400
2016-04-07,10.65,14.58,14.87,14.43,14.43,1473900
2016-04-08,10.45,14.31,14.95,14.31,14.64,1012200
2016-04-11,10.07,13.78,14.7,13.78,14.42,1378200
2016-04-12,10.36,14.18,14.29,13.9,13.95,1334700
2016-04-13,10.64,14.57,14.65,14.12,14.12,943200
2016-04-14,10.49,14.36,14.91,14.33,14.75,911700
2016-04-15,10.53,14.42,14.76,14.32,14.5,705300
2016-04-18,10.93,14.97,15.0,14.5,14.5,926700
2016-04-19,11.18,15.31,15.5,14.78,14.99,1541700
2016-04-20,11.44,15.67,15.67,15.22,15.23,1347600
2016-04-22,10.95,15.0,15.49,15.0,15.37,1037400
2016-04-25,11.03,15.11,15.29,14.99,15.0,464100
2016-04-26,11.09,15.18,15.35,14.93,14.93,617400
2016-04-27,11.09,15.18,15.4,14.93,15.12,783900
2016-04-28,10.95,15.0,15.4,14.96,15.28,289200
2016-04-29,10.89,14.91,15.16,14.65,15.02,636300
2016-05-02,11.1,15.2,15.32,14.84,14.94,403800
