Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,17.28,20.01,20.01,20.01,20.01,0
2015-09-04,17.28,20.01,20.01,20.01,20.01,0
2015-09-08,17.28,20.01,20.01,20.01,20.01,0
2015-09-09,17.28,20.01,20.01,20.01,20.01,0
2015-09-10,17.28,20.01,20.01,20.01,20.01,0
2015-09-11,17.28,20.01,20.01,20.01,20.01,0
2015-09-14,17.28,20.01,20.01,20.01,20.01,0
2015-09-15,17.28,20.01,20.01,20.01,20.01,0
2015-09-16,17.28,20.01,20.01,20.01,20.01,0
2015-09-17,17.28,20.01,20.01,20.01,20.01,0
2015-09-18,17.28,20.01,20.01,20.01,20.01,0
2015-09-21,17.28,20.01,20.01,20.01,20.01,0
2015-09-22,17.28,20.01,20.01,20.01,20.01,0
2015-09-23,17.28,20.01,20.01,20.01,20.01,0
2015-09-24,17.28,20.01,20.01,20.01,20.01,0
2015-09-25,17.28,20.01,20.01,20.01,20.01,0
2015-09-28,17.28,20.01,20.01,20.01,20.01,0
2015-09-29,17.28,20.01,20.01,20.01,20.01,0
2015-09-30,17.28,20.01,20.01,20.01,20.01,0
2015-10-01,17.28,20.01,20.01,20.01,20.01,0
2015-10-02,17.28,20.01,20.01,20.01,20.01,0
2015-10-05,17.28,20.01,20.01,20.01,20.01,0
2015-10-06,17.28,20.01,20.01,20.01,20.01,0
2015-10-07,17.28,20.01,20.01,20.01,20.01,0
2015-10-08,17.28,20.01,20.01,20.01,20.01,0
2015-10-09,17.28,20.01,20.01,20.01,20.01,0
2015-10-13,17.28,20.01,20.01,20.01,20.01,0
2015-10-14,17.28,20.01,20.01,20.01,20.01,0
2015-10-15,17.28,20.01,20.01,20.01,20.01,0
2015-10-16,17.28,20.01,20.01,20.01,20.01,0
2015-10-19,17.28,20.01,20.01,20.01,20.01,0
2015-10-20,17.28,20.01,20.01,20.01,20.01,0
2015-10-21,17.28,20.01,20.01,20.01,20.01,0
2015-10-22,17.28,20.01,20.01,20.01,20.01,0
2015-10-23,17.28,20.01,20.01,20.01,20.01,0
2015-10-26,17.28,20.01,20.01,20.01,20.01,0
2015-10-27,17.28,20.01,20.01,20.01,20.01,0
2015-10-28,17.28,20.01,20.01,20.01,20.01,0
2015-10-29,17.28,20.01,20.01,20.01,20.01,0
2015-10-30,17.28,20.01,20.01,20.01,20.01,0
2015-11-03,17.28,20.01,20.01,20.01,20.01,0
2015-11-04,17.28,20.01,20.01,20.01,20.01,0
2015-11-05,17.28,20.01,20.01,20.01,20.01,0
2015-11-06,17.28,20.01,20.01,20.01,20.01,0
2015-11-09,17.28,20.01,20.01,20.01,20.01,0
2015-11-10,17.28,20.01,20.01,20.01,20.01,0
2015-11-11,17.28,20.01,20.01,20.01,20.01,0
2015-11-12,17.28,20.01,20.01,20.01,20.01,0
2015-11-13,17.37,20.01,20.01,20.01,20.01,0
2015-11-16,17.37,20.01,20.01,20.01,20.01,0
2015-11-17,17.37,20.01,20.01,20.01,20.01,0
