Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,6.49,18.05,18.42,17.73,17.91,769800
2015-09-04,6.31,17.56,18.01,17.51,17.8,745800
2015-09-08,6.22,17.3,17.75,17.11,17.71,696400
2015-09-09,6.31,17.55,17.8,17.33,17.33,928600
2015-09-10,6.33,17.6,17.65,17.16,17.17,819400
2015-09-11,6.42,17.87,18.33,17.56,17.72,864700
2015-09-14,6.63,18.44,18.65,17.88,18.02,810000
2015-09-15,6.81,18.93,19.15,18.15,18.54,692700
2015-09-16,6.97,19.38,19.51,19.0,19.08,601500
2015-09-17,6.98,19.42,19.89,19.2,19.39,876500
2015-09-18,7.09,18.8,19.11,18.5,18.53,984400
2015-09-21,7.0,18.57,19.12,18.57,19.06,505600
2015-09-22,7.08,18.77,19.0,18.5,18.6,728800
2015-09-23,7.08,18.78,19.24,18.78,19.05,922000
2015-09-24,7.0,18.56,19.05,18.27,18.75,1544400
2015-09-25,6.73,17.86,18.78,17.86,18.59,869800
2015-09-28,6.88,18.24,18.3,17.8,17.96,440700
2015-09-29,7.04,18.67,18.7,18.12,18.24,649300
2015-09-30,7.19,19.07,19.35,18.48,18.9,961300
2015-10-01,7.07,18.76,19.29,18.46,19.19,485100
2015-10-02,7.31,19.4,19.8,18.62,18.86,820600
2015-10-05,7.48,19.85,20.69,19.66,19.73,1355100
2015-10-06,7.6,20.15,20.45,19.76,19.9,1159500
2015-10-07,7.64,20.27,21.08,20.22,20.69,1058600
2015-10-08,7.72,20.47,20.7,20.11,20.11,534900
2015-10-09,7.93,21.03,21.05,20.7,20.85,802600
2015-10-13,7.86,20.85,21.45,20.85,20.91,507700
2015-10-14,7.9,20.95,21.89,20.94,21.08,985600
2015-10-15,7.75,20.56,21.2,20.41,21.01,1132500
2015-10-16,7.9,20.95,20.95,20.2,20.78,2739900
2015-10-19,7.65,20.28,21.17,20.27,20.94,780700
2015-10-20,7.46,19.8,20.18,19.56,19.75,1217300
2015-10-21,7.39,19.6,20.45,19.6,19.81,614100
2015-10-22,7.5,19.9,20.01,19.7,19.7,479000
2015-10-23,7.51,19.92,20.38,19.82,20.04,459500
2015-10-26,7.48,19.85,20.14,19.47,19.92,239200
2015-10-27,7.54,20.0,20.3,19.71,19.71,681500
2015-10-28,7.47,19.81,19.84,19.76,19.82,17000
2015-10-29,7.26,19.26,19.72,19.25,19.25,400200
2015-10-30,7.5,19.9,19.91,19.27,19.27,876600
2015-11-03,7.56,20.05,20.58,19.62,19.9,1144600
2015-11-04,7.67,20.35,20.74,20.05,20.05,854200
2015-11-05,7.71,20.44,20.7,20.2,20.36,385300
2015-11-06,7.43,19.7,20.48,19.57,20.39,702000
2015-11-09,7.2,19.1,19.93,19.1,19.71,750100
2015-11-10,7.33,19.45,19.53,18.97,19.11,601200
2015-11-11,7.29,19.33,19.84,19.3,19.47,635000
2015-11-12,7.33,19.45,19.57,19.16,19.25,486500
2015-11-13,7.41,19.65,19.8,19.45,19.47,611600
2015-11-16,7.27,19.28,19.64,19.18,19.61,673700
2015-11-17,7.31,19.4,19.85,19.33,19.4,555200
2015-11-18,7.31,19.38,19.89,19.32,19.43,471100
2015-11-19,7.16,19.0,19.8,19.0,19.52,928000
2015-11-23,7.21,19.13,19.57,19.02,19.11,552100
2015-11-24,7.07,18.76,19.3,18.74,19.05,266400
2015-11-25,6.91,18.33,18.86,18.3,18.75,738400
2015-11-26,6.97,18.5,18.67,18.25,18.46,247600
2015-11-27,6.73,17.86,18.54,17.84,18.4,685600
2015-11-30,6.64,17.62,18.04,17.17,17.96,3917800
2015-12-01,6.63,17.59,17.8,17.19,17.72,2477300
2015-12-02,6.68,17.72,17.85,17.28,17.59,1302400
2015-12-03,6.79,18.0,18.34,17.78,17.78,510200
2015-12-04,6.79,18.0,18.12,17.3,18.01,876100
2015-12-07,6.79,18.01,18.25,17.81,18.14,470200
2015-12-08,6.53,17.33,18.06,17.33,18.06,398700
2015-12-09,6.48,17.2,17.57,17.2,17.38,753700
2015-12-10,6.48,17.2,17.8,17.15,17.43,721200
2015-12-11,6.41,17.0,17.49,16.92,17.25,628900
2015-12-14,6.41,17.01,17.18,16.9,17.12,376000
2015-12-15,6.3,16.72,17.28,16.71,17.15,577200
2015-12-16,6.41,17.0,17.17,16.55,16.74,644600
2015-12-17,6.36,16.86,17.36,16.79,17.04,831600
2015-12-18,6.3,16.7,16.87,16.48,16.76,548300
2015-12-21,6.21,16.15,16.36,15.8,16.26,867200
2015-12-22,6.29,16.36,16.6,16.2,16.29,703400
2015-12-23,6.39,16.62,16.74,16.31,16.4,525100
2015-12-28,6.38,16.6,16.93,16.52,16.74,372000
2015-12-29,6.38,16.6,16.77,16.35,16.72,511200
2015-12-30,6.44,16.75,16.75,16.4,16.6,652100
2016-01-04,6.21,16.15,16.66,16.15,16.63,593000
2016-01-05,6.11,15.9,16.35,15.67,16.26,1151500
2016-01-06,6.13,15.95,16.04,15.69,15.92,1264200
2016-01-07,5.93,15.42,16.01,15.24,15.83,969700
2016-01-08,6.18,16.08,16.08,15.36,15.43,1662800
2016-01-11,6.25,16.25,16.3,15.94,15.96,863700
2016-01-12,6.22,16.18,16.6,16.13,16.3,2777000
2016-01-13,6.25,16.25,16.45,16.01,16.25,1087900
2016-01-14,6.29,16.37,16.6,15.78,16.24,3857000
2016-01-15,6.02,15.65,16.3,15.43,16.24,1034900
2016-01-18,6.0,15.6,15.84,15.45,15.7,375000
2016-01-19,6.05,15.75,15.85,15.55,15.71,1228000
2016-01-20,5.8,15.1,15.77,15.1,15.64,573200
2016-01-21,5.92,15.4,15.55,15.05,15.05,1508600
2016-01-22,5.96,15.5,15.67,15.13,15.51,1736800
2016-01-26,6.04,15.72,15.72,15.22,15.49,985100
2016-01-27,6.33,16.47,16.47,15.6,15.7,755600
2016-01-28,6.45,16.79,16.98,16.08,16.49,1359900
2016-01-29,6.68,17.39,17.4,16.77,17.01,2131200
2016-02-01,6.81,17.73,17.79,17.1,17.27,719000
2016-02-02,6.54,17.02,17.67,16.82,17.61,544700
2016-02-03,6.52,16.95,17.38,16.93,17.05,544800
2016-02-04,6.8,17.7,17.73,17.06,17.07,700100
2016-02-05,6.86,17.85,18.12,17.5,17.58,366300
2016-02-10,6.84,17.8,17.96,17.54,17.54,323100
2016-02-11,6.8,17.69,17.81,17.22,17.74,295800
2016-02-12,6.82,17.75,17.79,17.41,17.71,350600
2016-02-15,6.76,17.6,17.95,17.36,17.79,284300
2016-02-16,6.84,17.8,17.82,17.31,17.55,1127500
2016-02-17,7.0,18.22,18.36,17.68,17.68,725500
2016-02-18,7.1,18.47,18.47,17.9,18.22,689700
2016-02-19,7.1,18.48,18.6,18.2,18.49,629300
2016-02-22,7.06,18.36,18.66,18.24,18.64,546800
2016-02-23,7.15,18.59,18.62,18.03,18.36,553700
2016-02-24,6.95,18.07,18.45,17.67,18.45,548700
2016-02-25,7.06,18.38,18.62,17.9,17.94,410400
2016-02-26,7.16,18.62,18.78,18.21,18.49,803400
2016-02-29,7.25,18.86,18.97,18.12,18.65,1253500
2016-03-01,7.32,19.05,19.17,18.73,18.73,1531300
2016-03-02,6.96,18.1,19.05,18.08,18.92,871400
2016-03-03,7.03,18.3,18.53,18.11,18.23,858700
2016-03-04,7.14,18.58,19.24,18.38,18.43,1032100
2016-03-07,7.0,18.2,18.93,17.68,18.56,843800
2016-03-08,6.9,17.95,18.44,17.84,18.09,1229400
2016-03-09,6.99,18.19,18.35,17.82,18.08,793200
2016-03-10,6.99,18.19,18.39,17.91,18.19,1288300
2016-03-11,6.89,17.92,18.38,17.65,18.19,1046800
2016-03-14,7.04,18.31,18.31,17.85,17.87,966800
2016-03-15,6.92,18.0,18.19,17.86,18.16,929500
2016-03-16,6.94,18.06,18.53,17.77,17.92,771700
2016-03-17,7.29,18.96,19.19,18.31,18.34,1776100
2016-03-18,7.28,18.93,19.76,18.93,19.08,1340600
2016-03-21,7.47,19.43,19.56,19.06,19.11,1040800
2016-03-22,7.43,19.33,19.67,19.04,19.48,895000
2016-03-23,7.5,19.52,19.52,19.0,19.25,1065200
2016-03-24,7.41,19.29,19.45,19.06,19.38,471100
2016-03-28,7.53,19.6,19.88,19.41,19.44,211700
2016-03-29,7.71,20.05,20.05,19.26,19.45,589400
2016-03-30,7.66,19.92,20.49,19.92,20.05,712000
2016-03-31,7.72,20.08,20.08,20.08,20.08,3300
2016-04-01,7.54,19.62,20.3,19.62,19.94,727800
2016-04-04,7.59,19.75,19.75,19.75,19.75,200
2016-04-05,7.5,19.5,19.5,19.5,19.5,200
2016-04-06,7.53,19.6,19.6,19.6,19.6,500
