Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,5.49,8.75,8.76,8.45,8.51,3290800
2015-09-04,5.24,8.34,8.64,8.31,8.53,4459800
2015-09-08,5.42,8.63,8.63,8.43,8.52,2023600
2015-09-09,5.34,8.5,8.86,8.42,8.69,3362200
2015-09-10,5.48,8.73,8.77,8.12,8.14,5027600
2015-09-11,5.36,8.54,8.7,8.41,8.67,1800700
2015-09-14,5.56,8.85,8.9,8.51,8.55,3195600
2015-09-15,5.4,8.6,8.92,8.5,8.91,4278800
2015-09-16,5.39,8.59,8.74,8.52,8.6,5277700
2015-09-17,5.43,8.65,8.72,8.48,8.52,5001700
2015-09-18,5.28,8.41,8.65,8.32,8.54,3912200
2015-09-21,5.31,8.46,8.57,8.31,8.31,2840700
2015-09-22,5.21,8.3,8.39,8.2,8.37,2141000
2015-09-23,5.22,8.31,8.37,8.12,8.34,4701100
2015-09-24,5.12,8.15,8.33,7.92,8.01,7618400
2015-09-25,5.0,7.97,8.29,7.9,8.23,4678100
2015-09-28,4.86,7.75,7.97,7.61,7.91,2712500
2015-09-29,4.78,7.61,7.85,7.58,7.72,3588300
2015-09-30,4.71,7.51,7.82,7.4,7.81,3800100
2015-10-01,4.74,7.55,7.65,7.46,7.56,4039900
2015-10-02,4.88,7.77,7.8,7.48,7.6,6690600
2015-10-05,4.9,7.8,8.08,7.75,7.94,4608600
2015-10-06,4.88,7.78,7.94,7.62,7.85,2828600
2015-10-07,4.92,7.83,8.01,7.77,7.95,5113700
2015-10-08,4.9,7.8,7.93,7.7,7.93,4022900
2015-10-09,4.9,7.8,7.96,7.66,7.96,4185400
2015-10-13,4.86,7.75,7.82,7.65,7.7,4282300
2015-10-14,4.86,7.75,8.13,7.71,7.72,9565700
2015-10-15,4.9,7.81,7.98,7.71,7.71,2897400
2015-10-16,4.86,7.74,7.85,7.6,7.85,2362900
2015-10-19,4.83,7.69,7.82,7.59,7.73,1398100
