Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,8.97,10.29,10.33,9.98,9.98,1884684
2015-09-04,8.56,9.82,10.17,9.82,9.99,1166967
2015-09-08,8.68,9.96,10.23,9.93,10.21,2088670
2015-09-09,8.79,10.08,10.15,9.97,10.01,2062757
2015-09-10,8.48,9.72,9.88,9.54,9.79,3563575
2015-09-11,8.68,9.96,10.04,9.68,9.72,2608126
2015-09-14,8.68,9.96,10.03,9.87,9.99,1620135
2015-09-15,8.68,9.96,10.15,9.87,10.01,1065728
2015-09-16,9.13,10.47,10.47,9.96,9.96,1409219
2015-09-17,8.82,10.12,10.38,9.95,10.38,1949164
2015-09-18,8.68,9.96,10.14,9.87,10.07,1699681
2015-09-21,8.66,9.93,9.98,9.7,9.91,4508479
2015-09-22,8.65,9.92,9.92,9.63,9.79,2230285
2015-09-23,8.56,9.82,9.93,9.76,9.92,2643680
2015-09-24,8.45,9.69,9.85,9.59,9.72,2334538
2015-09-25,8.44,9.68,9.84,9.61,9.61,5897209
2015-09-28,8.35,9.58,9.71,9.42,9.62,2333333
2015-09-29,8.48,9.73,9.82,9.49,9.49,2368586
2015-09-30,8.72,10.0,10.0,9.69,9.71,3537663
2015-10-01,8.54,9.79,10.2,9.79,10.06,4446108
2015-10-02,8.88,10.18,10.34,9.72,9.81,1029269
2015-10-05,9.09,10.42,10.42,10.09,10.39,2427642
2015-10-06,8.94,10.25,10.41,10.09,10.39,2527677
2015-10-07,9.26,10.62,10.94,10.49,10.62,2221246
2015-10-08,9.28,10.65,10.91,10.5,10.55,966296
2015-10-09,9.56,10.96,11.12,10.78,10.92,1395962
2015-10-13,9.59,11.0,11.0,10.69,10.94,1248923
2015-10-14,9.33,10.7,10.95,10.59,10.95,1639118
2015-10-15,9.63,11.05,11.25,10.55,10.56,914471
2015-10-16,9.4,10.79,11.24,10.68,11.24,2464402
2015-10-19,9.93,11.39,11.42,10.72,10.72,1483944
2015-10-20,9.95,11.42,11.45,11.3,11.42,1356189
2015-10-21,9.69,11.12,11.59,11.03,11.45,1208548
2015-10-22,10.1,11.58,11.8,11.1,11.21,2255595
2015-10-23,10.03,11.5,12.07,11.5,11.86,2713885
2015-10-26,10.1,11.59,11.67,11.36,11.6,1467975
2015-10-27,10.13,11.62,11.71,11.53,11.53,1172692
2015-10-28,9.83,11.28,11.43,11.25,11.36,123536
2015-10-29,9.63,11.05,11.13,10.77,10.77,4637740
2015-10-30,9.89,11.34,11.44,10.94,10.94,2651213
