Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,11.29,14.96,15.07,14.7,14.81,9104337
2015-09-04,11.3,14.96,14.97,14.67,14.87,8488352
2015-09-08,11.29,14.95,15.13,14.76,14.92,5556454
2015-09-09,11.08,14.67,15.22,14.66,15.05,6857880
2015-09-10,11.11,14.71,14.74,14.39,14.4,5262570
2015-09-11,11.15,14.76,14.87,14.58,14.72,6216717
2015-09-14,11.51,15.24,15.3,14.74,14.78,7018062
2015-09-15,11.45,15.17,15.2,14.97,15.16,3994135
2015-09-16,11.68,15.47,15.5,15.17,15.31,6236685
2015-09-17,11.69,15.48,15.77,15.2,15.26,6181555
2015-09-18,11.45,15.16,15.42,15.11,15.32,6554879
2015-09-21,11.45,15.16,15.26,15.02,15.09,3793148
2015-09-22,11.53,15.27,15.29,14.87,15.01,4810239
2015-09-23,11.24,14.88,15.32,14.88,15.26,5088930
2015-09-24,11.15,14.77,14.85,14.49,14.54,6771928
2015-09-25,11.15,14.77,15.02,14.71,14.92,5635460
2015-09-28,11.09,14.69,14.88,14.54,14.63,5841222
2015-09-29,11.0,14.57,14.79,14.51,14.69,10152684
2015-09-30,11.62,15.39,15.39,14.74,14.9,7841112
2015-10-01,11.73,15.54,15.65,15.21,15.54,8968030
2015-10-02,12.04,15.95,15.95,15.33,15.54,6855709
2015-10-05,12.0,15.9,16.21,15.73,16.19,7644899
2015-10-06,11.96,15.84,16.04,15.71,15.78,5995761
2015-10-07,11.98,15.86,16.12,15.57,15.95,8482709
2015-10-08,11.95,15.83,16.1,15.78,15.89,5851641
2015-10-09,11.97,15.85,16.07,15.76,16.07,5467464
2015-10-13,11.83,15.66,15.94,15.49,15.87,8111121
2015-10-14,11.7,15.49,15.91,15.35,15.56,16784399
2015-10-15,11.57,15.32,15.66,15.22,15.64,7691782
2015-10-16,11.82,15.66,15.76,15.22,15.32,5994893
2015-10-19,11.92,15.78,15.78,15.38,15.66,4061854
2015-10-20,11.96,15.84,15.85,15.57,15.72,4473813
2015-10-21,12.0,15.9,15.9,15.67,15.82,6447657
2015-10-22,12.16,16.1,16.13,15.83,15.92,5721845
2015-10-23,12.1,16.02,16.34,15.96,16.11,6679900
2015-10-26,12.04,15.94,16.15,15.9,15.96,4819790
2015-10-27,12.12,16.05,16.08,15.81,15.88,5031195
2015-10-28,11.98,15.87,15.89,15.84,15.88,423245
2015-10-29,11.66,15.45,15.75,15.35,15.35,4320577
2015-10-30,11.65,15.43,15.64,15.29,15.37,6718100
2015-11-03,12.08,16.0,16.04,15.57,15.57,11770133
2015-11-04,12.06,15.97,16.42,15.8,16.06,7051487
2015-11-05,11.89,15.75,16.24,15.64,15.97,6590475
2015-11-06,11.67,15.46,15.74,15.17,15.67,15037588
2015-11-09,11.72,15.51,15.67,15.34,15.43,4504634
2015-11-10,11.68,15.46,15.48,15.18,15.41,5343312
2015-11-11,11.88,15.73,15.82,15.39,15.45,8767477
2015-11-12,11.79,15.61,15.9,15.5,15.69,8039060
2015-11-13,11.75,15.56,15.63,15.3,15.5,6906499
2015-11-16,11.85,15.69,15.75,15.49,15.61,5549074
2015-11-17,11.88,15.73,15.9,15.67,15.82,5697536
2015-11-18,11.97,15.85,15.92,15.66,15.78,6900855
2015-11-19,12.0,15.9,16.02,15.75,15.94,5471371
2015-11-23,11.83,15.67,16.03,15.64,16.0,5900260
2015-11-24,11.81,15.64,15.66,15.39,15.56,7434362
2015-11-25,11.41,15.11,15.44,14.98,15.39,8838235
2015-11-26,11.68,15.47,15.48,15.04,15.12,4940035
2015-11-27,11.31,14.97,15.36,14.87,15.35,6610444
2015-11-30,10.91,14.45,15.05,14.45,14.78,18636695
2015-12-01,11.11,14.71,14.71,14.47,14.58,9653471
2015-12-02,11.06,14.65,14.91,14.52,14.6,9779793
2015-12-03,11.37,15.05,15.16,14.78,15.16,6994621
2015-12-04,11.14,14.75,14.97,14.48,14.96,7236413
2015-12-07,10.95,14.5,14.89,14.5,14.75,7091859
2015-12-08,10.9,14.43,14.6,14.33,14.5,5142759
2015-12-09,11.31,14.97,15.04,14.6,14.63,8983658
2015-12-10,11.15,14.77,15.25,14.42,15.08,8214870
2015-12-11,11.07,14.66,14.92,14.52,14.56,5309018
2015-12-14,10.82,14.33,14.61,14.32,14.57,4398715
2015-12-15,10.87,14.39,14.51,14.31,14.51,8759229
2015-12-16,10.9,14.43,14.44,14.09,14.29,5280368
