Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,2.51,3.2,3.36,3.2,3.3,7500600
2015-09-04,2.72,3.46,3.46,3.1,3.1,11353400
2015-09-08,2.93,3.73,3.82,3.5,3.55,10337200
2015-09-09,2.95,3.76,3.98,3.67,3.86,11563700
2015-09-10,3.33,4.24,4.24,3.46,3.5,18081800
2015-09-11,3.65,4.65,4.71,4.25,4.29,20185400
2015-09-14,3.36,4.28,4.88,4.26,4.71,18388600
2015-09-15,3.33,4.25,4.4,3.97,4.2,13024900
2015-09-16,3.48,4.43,4.62,4.27,4.31,12531300
2015-09-17,3.42,4.36,4.57,4.35,4.39,14012900
2015-09-18,3.44,4.39,4.48,4.26,4.3,8822300
2015-09-21,3.34,4.26,4.55,4.26,4.45,6328600
2015-09-22,3.07,3.91,4.19,3.84,4.15,9926600
2015-09-23,2.6,3.31,3.92,3.3,3.91,11114500
2015-09-24,2.78,3.54,3.68,3.13,3.23,15124800
2015-09-25,2.68,3.41,3.76,3.34,3.69,8479100
2015-09-28,2.68,3.42,3.52,3.32,3.37,6108800
2015-09-29,2.69,3.43,3.59,3.42,3.47,5722500
2015-09-30,2.63,3.35,3.6,3.32,3.55,10136300
2015-10-01,2.45,3.12,3.45,3.12,3.36,12683800
2015-10-02,2.48,3.16,3.19,3.01,3.1,15131900
2015-10-05,2.59,3.3,3.35,3.22,3.27,11456600
2015-10-06,2.61,3.32,3.44,3.29,3.3,9954200
2015-10-07,2.66,3.39,3.53,3.34,3.45,13273200
2015-10-08,2.88,3.67,3.67,3.38,3.42,10776900
2015-10-09,2.93,3.73,3.88,3.68,3.8,12175300
2015-10-13,2.59,3.3,3.58,3.3,3.58,11877400
2015-10-14,2.59,3.3,3.51,3.29,3.32,16412500
2015-10-15,2.64,3.36,3.43,3.22,3.36,9868400
2015-10-16,2.61,3.33,3.44,3.32,3.38,9431700
2015-10-19,2.52,3.21,3.41,3.19,3.35,10894800
2015-10-20,2.44,3.11,3.27,3.07,3.23,13044500
2015-10-21,2.36,3.01,3.18,3.01,3.09,11696800
2015-10-22,2.41,3.07,3.12,3.01,3.06,10080400
2015-10-23,2.41,3.07,3.18,3.07,3.16,7422800
2015-10-26,2.39,3.04,3.13,3.02,3.1,4158400
2015-10-27,2.39,3.04,3.09,3.0,3.06,6764300
