Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,9.55,18.73,19.37,18.1,18.18,8880300
2015-09-04,9.3,18.24,18.6,18.05,18.35,11979600
2015-09-08,9.66,18.93,19.2,18.63,18.97,6504800
2015-09-09,9.72,19.06,19.94,18.94,19.4,7716600
2015-09-10,10.17,19.94,20.06,18.66,18.7,9679700
2015-09-11,9.92,19.45,20.56,19.17,20.23,8185600
2015-09-14,9.77,19.15,19.59,18.8,19.32,5714300
2015-09-15,9.49,18.6,19.26,18.52,19.1,6058200
2015-09-16,9.71,19.04,19.27,18.63,18.82,6522200
2015-09-17,9.94,19.49,20.28,18.88,18.88,7195500
2015-09-18,10.16,19.91,20.41,19.39,19.46,11238600
2015-09-21,10.17,19.93,20.28,19.63,20.01,5214900
2015-09-22,9.93,19.46,19.71,18.84,19.45,8156600
2015-09-23,9.64,18.9,19.65,18.9,19.46,5364500
2015-09-24,9.41,18.45,18.99,18.35,18.35,6066900
2015-09-25,9.15,17.93,18.92,17.82,18.66,4420500
2015-09-28,8.46,16.59,17.7,16.57,17.7,7584400
2015-09-29,8.41,16.48,17.18,16.43,16.8,7694600
2015-09-30,8.46,16.58,17.05,16.33,16.96,6672100
2015-10-01,8.78,17.22,17.51,16.71,16.81,6028900
2015-10-02,9.09,17.82,17.93,16.87,17.08,7116900
2015-10-05,9.25,18.14,18.39,18.0,18.1,3574800
2015-10-06,9.34,18.31,18.55,18.0,18.35,4558400
2015-10-07,10.28,20.15,20.3,19.3,19.3,9670300
2015-10-08,10.23,20.06,20.18,19.68,20.07,5880600
2015-10-09,10.6,20.79,20.83,20.2,20.53,12008500
2015-10-13,9.48,18.58,20.0,18.55,19.97,8803000
2015-10-14,9.54,18.7,19.17,18.6,18.7,13342500
2015-10-15,9.68,18.97,19.05,18.43,18.86,5301300
2015-10-16,9.58,18.42,18.86,18.2,18.86,5306400
2015-10-19,9.26,17.8,18.55,17.71,18.41,6646700
2015-10-20,9.16,17.61,17.97,17.35,17.9,4110400
2015-10-21,9.41,18.09,18.28,17.59,17.6,3708700
2015-10-22,9.63,18.51,19.0,18.17,18.2,7244800
2015-10-23,9.68,18.6,19.33,18.35,19.25,8380100
2015-10-26,9.29,17.86,18.65,17.83,18.55,5048400
2015-10-27,8.86,17.03,17.91,16.95,17.81,7572600
2015-10-28,8.62,16.57,16.92,16.4,16.86,746800
2015-10-29,8.4,16.14,16.5,16.14,16.21,5896100
2015-10-30,8.88,17.06,17.06,16.3,16.31,6156500
2015-11-03,9.24,17.75,17.75,16.84,17.25,8037500
2015-11-04,9.05,17.4,18.35,17.07,18.17,7193100
2015-11-05,8.82,16.95,17.41,16.64,17.41,5915900
2015-11-06,8.15,15.67,16.36,15.59,16.16,10096900
2015-11-09,8.03,15.44,15.84,15.36,15.64,2982900
2015-11-10,8.0,15.38,15.43,15.13,15.35,4677100
2015-11-11,7.97,15.32,15.84,15.06,15.51,3983500
2015-11-12,7.83,15.05,15.32,15.0,15.15,5643200
2015-11-13,8.0,15.37,15.39,15.0,15.09,3792600
2015-11-16,7.83,15.05,15.53,14.99,15.38,4946300
2015-11-17,7.55,14.52,15.1,14.49,15.1,4607600
2015-11-18,7.59,14.59,14.94,14.35,14.45,6100200
2015-11-19,7.62,14.64,15.0,14.5,14.88,4043700
2015-11-23,7.41,14.25,14.48,14.06,14.34,5780800
2015-11-24,7.53,14.47,14.64,13.88,14.11,4629700
2015-11-25,7.32,14.06,14.51,14.06,14.22,5048900
2015-11-26,7.38,14.19,14.27,14.09,14.17,3880800
2015-11-27,6.92,13.3,14.08,13.3,14.08,5964400
2015-11-30,6.85,13.17,13.39,12.6,13.04,13658200
2015-12-01,6.68,12.84,13.32,12.59,13.0,6932100
2015-12-02,6.73,12.94,13.03,12.25,12.84,9802500
2015-12-03,6.7,12.87,13.2,12.74,12.85,7206800
2015-12-04,6.43,12.35,12.9,12.16,12.84,6375000
