Date,Adj Close,Close,High,Low,Open,Volume
2021-02-02,7.14,8.04,8.55,8.04,8.33,4750609
2021-02-03,7.21,8.11,8.25,7.82,8.17,3966477
2021-02-04,7.19,8.09,8.24,8.0,8.13,3650229
2021-02-05,7.12,8.02,8.12,7.87,8.08,4402737
2021-02-08,7.53,8.47,8.95,8.02,8.05,3162478
2021-02-09,7.43,8.36,8.65,8.17,8.54,1374461
2021-02-10,7.23,8.14,8.44,7.93,8.44,3511567
2021-02-11,7.27,8.18,8.29,8.05,8.14,1655030
2021-02-12,7.34,8.26,8.45,8.12,8.16,649929
2021-02-17,7.59,8.55,8.68,8.36,8.36,2613098
2021-02-18,7.54,8.48,8.67,8.39,8.56,993747
2021-02-19,7.78,8.76,8.92,8.39,8.41,1995604
2021-02-22,7.63,8.58,9.07,8.28,8.29,1355405
2021-02-23,7.63,8.58,8.79,8.51,8.59,1706116
2021-02-24,7.65,8.61,8.88,8.35,8.75,1445414
2021-02-25,7.45,8.39,8.69,8.16,8.65,1264991
2021-02-26,7.56,8.51,8.79,8.03,8.41,1865862
2021-03-01,7.31,8.23,8.68,8.23,8.52,1349729
2021-03-02,7.49,8.43,8.43,7.89,8.23,1173360
2021-03-03,7.4,8.32,8.35,8.1,8.35,1419466
2021-03-04,7.45,8.39,8.48,8.18,8.36,757778
2021-03-05,7.32,8.24,8.43,8.24,8.36,1309995
2021-03-08,6.94,7.82,8.24,7.82,8.24,1015642
2021-03-09,6.71,7.55,8.01,7.48,7.93,2514170
2021-03-10,6.53,7.34,7.74,7.19,7.74,1291345
2021-03-11,6.96,7.84,7.84,7.3,7.39,2230763
2021-03-12,6.99,7.87,8.1,7.58,7.81,3263434
2021-03-15,7.34,8.26,8.37,7.83,7.83,2428215
2021-03-16,7.71,8.68,8.72,8.19,8.19,4282725
2021-03-17,7.89,8.88,8.98,8.56,8.68,5070506
2021-03-18,7.92,8.92,9.28,8.76,8.93,3661176
2021-03-19,7.85,8.83,9.14,8.73,8.93,2872989
2021-03-22,7.89,8.88,9.17,8.46,8.83,5377429
2021-03-23,7.85,8.83,8.88,8.74,8.82,638577
2021-03-24,7.47,8.41,9.0,8.41,8.68,973070
2021-03-25,8.04,9.05,9.15,8.26,8.41,2991380
2021-03-26,7.85,8.83,9.15,8.76,9.07,2604179
2021-03-29,7.55,8.5,9.0,8.5,8.89,3953908
2021-03-30,7.45,8.39,8.67,8.39,8.53,1472174
2021-03-31,7.67,8.63,8.67,8.22,8.49,2544984
2021-04-01,7.67,8.63,8.84,8.43,8.64,877384
2021-04-05,7.65,8.61,8.69,8.53,8.69,1080107
2021-04-06,7.53,8.47,8.67,8.45,8.66,1319726
2021-04-07,7.56,8.51,8.68,8.4,8.47,1401221
2021-04-08,7.92,8.92,9.15,8.48,8.51,2111967
2021-04-09,7.99,8.99,9.25,8.78,8.92,1442171
2021-04-12,8.13,9.15,9.42,8.98,9.03,2187380
2021-04-13,8.06,9.08,9.28,8.98,9.15,1044023
2021-04-14,8.22,9.25,9.25,8.83,9.15,2026013
2021-04-15,8.47,9.53,9.62,9.27,9.27,2034122
2021-04-16,8.55,9.62,9.69,9.51,9.53,1067133
2021-04-19,8.57,9.64,9.69,9.47,9.62,546541
2021-04-20,8.56,9.63,9.69,9.49,9.64,282595
2021-04-22,8.54,9.61,9.83,9.47,9.7,608979
2021-04-23,8.55,9.62,9.66,9.31,9.65,1129166
2021-04-26,8.33,9.37,9.62,9.33,9.62,1270667
2021-04-27,8.47,9.54,9.61,9.33,9.4,2786224
2021-04-28,8.77,9.87,9.95,9.54,9.54,4397466
2021-04-29,8.99,10.11,10.36,9.59,9.95,3250459
2021-04-30,9.12,10.26,10.26,10.08,10.08,3200590
2021-05-03,9.24,10.4,10.72,10.15,10.26,2468354
2021-05-04,9.71,10.92,11.21,10.24,10.4,2875017
2021-05-05,10.21,11.49,11.74,10.89,10.92,3818084
2021-05-06,10.19,11.47,11.49,11.2,11.49,8042425
2021-05-07,10.3,11.59,11.81,11.22,11.55,7085572
2021-05-10,9.79,11.02,11.61,10.87,11.59,3466157
2021-05-11,10.04,11.3,11.33,10.53,10.92,2188597
2021-05-12,9.95,11.2,11.45,10.95,11.23,1563804
2021-05-13,10.08,11.34,11.39,11.15,11.23,2493897
2021-05-14,10.05,11.31,11.35,10.89,11.34,1271072
2021-05-17,10.08,11.35,11.48,11.0,11.29,1884107
2021-05-18,10.08,11.35,11.36,11.11,11.34,1385003
2021-05-19,10.25,11.54,11.87,10.97,11.37,3058684
2021-05-20,10.57,11.9,12.02,11.17,11.6,2816227
2021-05-21,10.55,11.87,11.97,11.6,11.9,1597862
2021-05-24,10.63,11.96,12.21,11.69,11.93,3407772
2021-05-25,10.89,12.26,12.33,11.97,12.02,2528360
2021-05-26,10.96,12.33,12.36,12.12,12.25,2052367
2021-05-27,11.12,12.52,12.63,12.27,12.33,6818384
2021-05-28,11.2,12.6,12.72,12.3,12.52,2512953
2021-05-31,11.61,13.07,13.39,12.58,12.63,1849644
2021-06-01,11.61,13.07,13.22,12.96,13.2,1761257
2021-06-02,11.39,12.82,13.22,12.68,13.22,2442811
2021-06-04,11.61,13.07,13.09,12.52,12.85,2427404
2021-06-07,11.6,13.05,13.64,12.8,13.09,2940293
2021-06-08,11.5,12.95,13.12,12.85,13.06,1135248
2021-06-09,11.39,12.82,13.07,12.61,12.93,1361892
2021-06-10,11.26,12.68,12.91,12.57,12.85,1040779
2021-06-11,11.07,12.46,12.74,12.36,12.64,1174982
2021-06-14,11.42,12.85,13.22,12.51,12.6,2250630
2021-06-15,11.42,12.86,13.34,12.7,12.83,1573941
2021-06-16,11.61,13.07,13.29,12.8,12.88,2948808
2021-06-17,11.8,13.28,13.54,13.01,13.17,2709189
2021-06-18,11.83,13.32,13.32,12.91,13.29,1275938
2021-06-21,11.74,13.21,13.4,13.1,13.33,1065511
2021-06-22,11.78,13.26,13.42,13.11,13.2,1033076
2021-06-23,12.01,13.51,13.8,13.28,13.42,4341920
2021-06-24,12.22,13.76,14.12,13.34,13.57,3545624
2021-06-25,12.12,13.64,13.77,13.32,13.76,3580087
2021-06-28,12.38,13.94,14.1,13.4,13.61,1601511
2021-06-29,12.54,14.12,14.12,13.61,13.93,1352973
2021-06-30,12.41,13.97,14.3,13.92,14.13,3669691
2021-07-01,13.02,14.65,14.84,14.49,14.55,8890212
2021-07-02,13.53,15.22,15.42,14.69,14.71,2908669
2021-07-05,13.7,15.42,15.86,15.23,15.23,1748688
2021-07-06,13.62,15.33,15.7,15.27,15.45,1738957
2021-07-07,13.81,15.54,15.64,15.33,15.34,2057638
2021-07-08,13.63,15.34,15.99,15.28,15.39,8587750
2021-07-12,13.92,15.66,16.21,15.36,15.5,8663568
2021-07-13,13.85,15.59,15.86,15.43,15.66,2696620
2021-07-14,14.23,16.01,16.01,15.57,15.6,1800585
2021-07-15,14.23,16.01,16.12,15.74,15.91,1667599
2021-07-16,14.46,16.28,16.37,15.86,16.03,2056421
2021-07-19,14.46,16.28,16.73,15.86,16.15,4311511
2021-07-20,14.68,16.53,16.64,16.18,16.38,2364155
2021-07-21,14.95,16.82,16.86,16.47,16.53,2316312
2021-07-22,15.66,17.62,17.63,16.87,16.87,3546030
2021-07-23,15.73,17.7,17.88,17.54,17.88,2488627
2021-07-26,15.53,17.47,17.82,17.21,17.71,4655330
