Date,Adj Close,Close,High,Low,Open,Volume
2018-03-14,14.09,22.63,23.71,22.5,23.3,12417800
2018-03-15,14.26,22.9,23.16,22.26,22.7,3858200
2018-03-16,14.07,22.59,22.99,22.13,22.99,4757100
2018-03-19,14.03,22.53,22.53,22.25,22.49,1818600
2018-03-20,13.96,22.42,22.5,22.29,22.48,694700
2018-03-21,14.41,23.15,23.15,22.2,22.35,4175000
2018-03-22,14.57,23.4,23.45,22.87,23.05,1364100
2018-03-23,14.44,23.2,23.48,22.73,23.17,963200
2018-03-26,15.07,24.21,24.55,23.31,23.44,2467100
2018-03-27,14.76,23.71,24.43,23.04,24.39,2459300
2018-03-28,14.25,22.89,23.9,22.83,23.76,2062100
2018-03-29,14.38,23.09,23.36,22.81,23.14,4495300
2018-04-02,13.92,22.35,23.33,22.35,23.09,1067600
2018-04-03,13.98,22.46,22.69,22.24,22.58,1279700
2018-04-04,13.88,22.29,22.46,21.56,22.06,2380500
2018-04-05,14.11,22.67,23.25,22.5,22.99,4289600
2018-04-06,14.46,23.22,23.4,22.41,22.67,1673900
2018-04-09,14.57,23.4,23.9,23.21,23.5,2609000
2018-04-10,14.63,23.5,23.99,23.44,23.7,2783700
2018-04-11,14.58,23.42,23.58,23.14,23.4,2503700
2018-04-12,14.51,23.3,23.47,23.06,23.47,3943900
2018-04-13,14.44,23.2,23.48,22.92,23.34,2560800
2018-04-16,13.88,22.3,23.2,22.2,23.2,3922300
2018-04-17,13.72,22.04,22.49,21.81,22.49,3482600
2018-04-18,14.0,22.48,22.85,22.18,22.18,3248100
2018-04-19,14.32,23.0,23.26,22.42,22.64,4197800
2018-04-20,14.15,22.73,23.41,22.73,22.95,1677900
2018-04-23,14.16,22.75,23.06,22.5,22.69,861500
2018-04-24,13.88,22.3,23.19,22.1,22.9,3790900
2018-04-25,13.63,21.89,22.48,21.71,22.3,3153200
2018-04-26,13.76,22.1,22.19,21.51,21.55,8824000
2018-04-27,14.13,22.69,22.8,22.06,22.19,5697000
2018-04-30,14.3,22.96,23.05,22.48,22.8,2127000
2018-05-02,14.38,23.1,23.45,22.74,22.88,3070000
2018-05-03,13.93,22.37,23.31,22.12,23.1,4358400
2018-05-04,13.62,21.87,22.5,21.43,22.49,7089700
2018-05-07,13.57,21.8,22.2,21.26,22.2,3353900
2018-05-08,13.05,20.96,22.0,20.68,21.9,8024600
2018-05-09,13.26,21.3,21.35,20.3,21.05,8896600
2018-05-10,13.27,21.32,21.95,21.22,21.36,9374600
2018-05-11,13.2,21.2,21.51,20.6,21.4,2269400
2018-05-14,13.01,20.9,21.59,20.53,21.3,3699100
2018-05-15,13.23,21.25,21.39,20.76,20.9,7353300
2018-05-16,13.26,21.3,21.58,20.82,21.5,2791000
2018-05-17,12.58,20.2,21.29,20.01,21.2,2648700
2018-05-18,12.22,19.63,20.0,19.18,20.0,5283500
2018-05-21,12.17,19.54,20.12,19.09,19.83,2258300
2018-05-22,12.35,19.83,19.9,19.31,19.6,4995700
2018-05-23,12.23,19.65,19.89,19.42,19.83,3872500
2018-05-24,11.78,18.92,19.25,17.85,18.0,4534600
2018-05-25,11.61,18.65,19.69,18.31,19.1,5862700
2018-05-28,10.27,16.5,18.19,16.5,18.18,5377200
2018-05-29,11.0,17.66,18.05,17.02,17.12,6930700
2018-05-30,11.33,18.2,18.95,17.29,17.85,41308600
2018-06-01,10.58,17.0,19.33,16.11,18.69,11513500
2018-06-04,11.34,18.21,18.3,17.37,17.64,6522800
2018-06-05,11.15,17.91,18.37,17.6,18.05,8952500
2018-06-06,11.72,18.83,19.04,17.83,17.83,5918500
2018-06-07,11.18,17.96,18.44,17.01,18.25,7585100
2018-06-08,10.82,17.38,18.34,17.02,17.95,2706400
2018-06-11,10.67,17.14,17.7,16.76,17.69,3499500
2018-06-12,10.75,17.26,17.44,17.08,17.39,1592700
2018-06-13,10.52,16.89,17.31,16.33,17.16,2275500
2018-06-14,10.4,16.7,17.09,16.54,17.09,2030000
2018-06-15,10.31,16.56,16.98,16.43,16.75,2799500
2018-06-18,10.47,16.81,17.1,16.02,16.77,1880900
2018-06-19,11.11,17.84,17.84,16.41,16.43,2490200
2018-06-20,10.81,17.37,18.2,17.02,17.99,2714900
2018-06-21,10.57,16.97,17.2,16.56,17.15,1963500
2018-06-22,10.92,17.54,17.54,16.63,16.84,1686100
2018-06-25,11.13,17.88,18.33,17.44,17.7,1505700
2018-06-26,11.41,18.32,18.32,17.74,17.91,1865300
2018-06-27,11.33,18.2,18.48,17.95,18.32,2878400
2018-06-28,11.38,18.28,18.5,18.02,18.2,2807100
2018-06-29,11.39,18.29,18.49,18.03,18.45,3135500
2018-07-02,11.31,18.16,18.32,17.87,18.3,853100
2018-07-03,11.39,18.3,18.48,18.0,18.0,733200
2018-07-04,11.36,18.25,18.34,18.05,18.16,678800
2018-07-05,11.21,18.0,18.5,17.52,18.5,951200
2018-07-06,11.59,18.62,18.9,18.03,18.19,1662500
2018-07-10,12.05,19.35,19.35,18.74,18.74,8177200
2018-07-11,12.12,19.46,19.82,19.12,19.34,1787000
2018-07-12,12.47,20.03,20.16,19.43,19.43,1418400
2018-07-13,12.58,20.2,20.48,19.9,20.15,1946400
2018-07-16,12.78,20.53,20.6,19.63,20.0,1485800
2018-07-17,12.33,19.8,20.47,19.51,20.28,3174100
2018-07-18,12.11,19.45,19.95,19.29,19.9,1188300
2018-07-19,11.83,19.0,19.26,18.52,19.24,2137300
2018-07-20,12.75,20.48,20.6,19.47,19.7,4281300
