Date,Adj Close,Close,High,Low,Open,Volume
2019-10-11,21.63,23.73,24.37,23.72,24.3,7077400
2019-10-14,21.43,23.51,23.82,23.1,23.73,4214500
2019-10-15,21.47,23.55,23.64,23.25,23.6,1133500
2019-10-16,21.97,24.1,24.1,23.31,23.55,1946600
2019-10-17,22.06,24.2,24.2,23.85,24.0,904400
2019-10-18,22.01,24.15,24.15,23.81,24.11,1051300
2019-10-21,21.89,24.01,24.24,23.97,24.15,3309600
2019-10-22,21.74,23.85,24.1,23.71,24.03,928900
2019-10-23,21.44,23.52,23.91,23.31,23.91,1482200
2019-10-24,20.96,23.0,23.61,23.0,23.5,2568000
2019-10-25,21.08,23.13,23.29,22.75,23.05,1225500
2019-10-28,21.32,23.39,23.39,23.0,23.15,1950600
2019-10-29,21.1,23.15,23.35,23.0,23.32,1277000
2019-10-30,21.78,23.89,23.89,22.88,23.21,1086200
2019-10-31,22.09,24.24,24.24,23.32,23.7,554600
2019-11-01,21.83,23.95,24.13,23.91,24.12,740500
2019-11-04,22.06,24.2,24.2,23.7,23.96,2002400
2019-11-05,22.15,24.3,24.3,23.76,24.1,2102900
2019-11-06,21.88,24.0,24.42,24.0,24.3,809000
2019-11-07,21.74,23.85,24.08,23.78,24.06,641700
2019-11-08,21.65,23.75,23.82,23.13,23.82,1346600
2019-11-11,21.88,24.0,24.0,23.45,23.45,717400
2019-11-12,21.34,23.41,23.97,22.99,23.97,1578700
2019-11-13,20.86,22.88,23.39,22.63,23.39,1400300
2019-11-14,21.65,23.75,23.75,22.8,23.0,1359400
2019-11-18,21.81,23.93,23.98,23.41,23.76,523400
2019-11-19,21.72,23.83,24.1,23.6,23.98,1162900
2019-11-21,21.56,23.65,24.04,23.5,23.96,1121600
2019-11-22,21.24,23.3,23.9,23.17,23.83,1810700
2019-11-25,21.68,23.78,23.78,23.08,23.39,2173000
2019-11-26,21.37,23.45,23.73,23.24,23.73,1173300
2019-11-27,21.1,23.15,23.57,23.15,23.47,1619200
2019-11-28,21.42,23.5,23.74,23.15,23.27,581800
2019-11-29,21.68,23.78,23.78,23.26,23.37,599200
2019-12-02,21.41,23.49,23.78,23.46,23.78,516500
2019-12-03,21.28,23.35,23.63,23.2,23.49,608900
2019-12-04,21.46,23.54,23.65,23.32,23.32,1803800
2019-12-05,21.81,23.93,23.95,23.16,23.54,1835400
2019-12-06,23.61,25.9,26.1,23.97,23.97,8249700
2019-12-09,24.69,27.09,27.15,25.33,25.86,2077700
2019-12-10,24.43,26.8,28.12,26.64,27.0,2767000
2019-12-11,24.25,26.6,27.35,26.51,27.03,1527800
2019-12-12,25.52,28.0,28.0,26.53,27.01,2905500
2019-12-13,25.8,28.3,28.3,27.46,27.99,1395200
2019-12-16,25.7,28.2,28.7,27.91,28.39,2099900
2019-12-17,25.25,27.7,28.47,27.6,28.15,1300800
2019-12-18,25.7,28.2,28.25,27.7,27.7,1181100
2019-12-19,25.7,28.2,28.51,28.01,28.28,677100
2019-12-20,26.25,28.8,28.9,28.0,28.3,960600
2019-12-23,26.59,29.17,29.67,28.85,28.85,893300
