Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,9.25,17.1,17.19,16.86,16.86,3000
2015-09-04,9.18,16.98,16.98,16.64,16.64,13000
2015-09-08,8.98,16.61,17.25,16.61,17.25,11400
2015-09-09,9.17,16.96,17.35,16.73,16.73,17200
2015-09-10,9.19,17.0,17.0,16.5,16.72,27200
2015-09-11,9.06,16.75,16.88,16.5,16.88,3400
2015-09-14,9.23,17.08,17.08,16.5,16.65,6800
2015-09-15,9.27,17.14,17.15,16.95,17.15,2200
2015-09-16,9.35,17.3,17.3,16.83,17.12,13200
2015-09-17,9.3,17.19,17.19,17.1,17.1,9000
2015-09-18,9.37,17.33,17.33,16.62,17.12,7600
2015-09-21,9.02,16.67,17.15,16.67,17.15,12200
2015-09-22,8.73,16.15,16.56,16.0,16.55,19800
2015-09-23,8.48,15.69,16.11,15.69,16.09,9200
2015-09-24,8.25,15.26,15.45,15.16,15.22,99400
2015-09-25,8.24,15.25,15.3,15.1,15.18,2400
2015-09-28,8.27,15.3,15.3,14.93,15.18,11200
2015-09-29,8.26,15.27,15.5,15.01,15.01,12400
2015-09-30,8.35,15.45,15.47,14.95,15.35,24400
2015-10-01,8.44,15.57,15.84,15.2,15.84,3000
2015-10-02,8.41,15.51,15.77,15.35,15.35,8000
2015-10-05,8.67,16.0,16.08,15.88,15.97,9000
2015-10-06,8.62,15.9,15.97,15.84,15.9,453000
2015-10-07,8.8,16.24,16.37,16.03,16.37,122000
2015-10-08,8.94,16.49,16.49,16.15,16.3,106800
2015-10-09,9.0,16.6,16.75,16.25,16.75,13800
2015-10-13,8.58,15.82,16.5,15.82,16.5,24200
2015-10-14,8.4,15.5,16.25,15.5,16.08,79800
2015-10-15,8.53,15.74,15.85,15.59,15.65,10200
2015-10-16,8.24,15.21,15.75,15.21,15.57,28800
2015-10-19,8.24,15.21,15.57,15.21,15.4,14000
2015-10-20,8.42,15.52,15.55,15.38,15.38,22200
2015-10-21,8.4,15.5,15.65,15.45,15.48,31600
2015-10-22,8.67,16.0,16.0,15.52,15.52,3600
2015-10-23,8.56,15.8,16.1,15.75,16.1,16000
2015-10-26,8.97,16.55,16.81,16.17,16.22,89000
2015-10-27,8.92,16.45,16.45,16.18,16.42,15200
2015-10-28,8.71,16.08,16.17,16.08,16.12,6800
2015-10-29,8.84,16.3,16.46,16.09,16.33,119400
2015-10-30,9.15,16.88,16.88,16.31,16.31,14600
2015-11-03,9.5,17.5,17.5,16.84,16.86,24400
2015-11-04,9.46,17.42,17.5,17.27,17.5,18400
2015-11-05,9.09,16.75,17.11,16.65,17.11,22800
2015-11-06,9.17,16.89,16.9,16.65,16.9,3800
2015-11-09,9.01,16.6,16.93,16.58,16.93,22200
2015-11-10,8.93,16.45,16.65,16.39,16.45,41400
2015-11-11,9.34,17.2,17.2,16.92,16.92,3400
2015-11-12,9.34,17.2,17.2,16.86,17.02,12000
2015-11-13,9.34,17.2,17.2,17.2,17.2,0
2015-11-16,9.14,16.83,16.84,16.45,16.62,7200
2015-11-17,9.1,16.76,17.09,16.7,16.86,97400
2015-11-18,9.1,16.76,16.93,16.67,16.67,38600
2015-11-19,9.19,16.92,17.0,16.66,16.94,65400
2015-11-23,9.07,16.7,17.03,16.63,17.03,13600
2015-11-24,9.07,16.7,16.73,16.54,16.73,3200
2015-11-25,8.94,16.48,16.69,16.01,16.45,4000
2015-11-26,8.79,16.2,16.25,16.0,16.09,4600
2015-11-27,8.75,16.12,16.38,15.91,16.0,6000
2015-11-30,8.76,16.13,16.3,15.56,15.65,15800
2015-12-01,8.69,15.95,15.99,15.73,15.88,9000
2015-12-02,8.72,16.0,16.0,15.65,15.69,4600
2015-12-03,8.72,16.0,16.36,16.0,16.0,13800
2015-12-04,8.58,15.75,15.75,15.52,15.71,4000
2015-12-07,8.56,15.7,16.0,15.53,16.0,7400
2015-12-08,8.52,15.62,15.69,15.28,15.69,9400
2015-12-09,8.58,15.75,15.81,15.61,15.7,8000
2015-12-10,8.85,16.25,16.25,15.75,15.75,9400
2015-12-11,8.79,16.12,16.12,15.65,15.78,6600
2015-12-14,8.79,16.12,16.12,15.5,16.0,24800
2015-12-15,8.88,16.28,16.28,15.94,15.94,24400
2015-12-16,9.16,16.8,16.8,15.76,16.0,53600
2015-12-17,8.96,16.44,17.0,16.36,16.61,46200
2015-12-18,8.52,15.62,16.5,15.62,16.4,50200
2015-12-21,8.5,15.6,16.0,15.26,15.9,33000
2015-12-22,8.55,15.69,15.69,15.27,15.6,38800
2015-12-23,8.83,16.2,16.2,15.52,15.61,51600
2015-12-28,8.39,15.4,15.99,15.4,15.84,54600
2015-12-29,8.49,15.57,15.57,15.35,15.35,21800
2015-12-30,9.26,17.0,17.0,15.21,15.65,174200
2016-01-04,8.31,15.18,16.31,15.1,16.26,74800
2016-01-05,8.33,15.2,15.42,15.11,15.23,72200
2016-01-06,8.34,15.23,15.23,14.9,15.01,15400
2016-01-07,8.34,15.22,15.26,14.69,14.95,90600
2016-01-08,7.94,14.49,15.11,14.4,15.11,49200
2016-01-11,8.02,14.65,14.75,14.51,14.74,7000
2016-01-12,8.05,14.7,14.81,14.49,14.49,6600
2016-01-13,8.01,14.62,15.0,14.57,14.73,23400
2016-01-14,8.19,14.94,14.94,14.32,14.51,55400
2016-01-15,7.97,14.55,14.7,14.55,14.63,9800
2016-01-18,7.94,14.5,14.5,14.2,14.27,9000
2016-01-19,8.13,14.85,14.85,14.52,14.55,46800
2016-01-20,8.08,14.74,14.74,14.25,14.56,39800
2016-01-21,8.08,14.75,14.98,14.4,14.41,71800
2016-01-22,8.33,15.2,15.24,14.98,14.98,25200
2016-01-26,8.12,14.81,15.05,14.53,15.05,22000
2016-01-27,8.35,15.25,15.34,14.47,14.9,109000
2016-01-28,8.12,14.82,15.06,14.8,15.06,29800
2016-01-29,8.49,15.5,15.5,14.81,14.91,20200
2016-02-01,8.22,15.01,15.1,14.8,15.05,24000
2016-02-02,8.08,14.75,15.22,14.45,14.81,19600
2016-02-03,8.2,14.98,15.1,14.76,15.1,28000
