Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,5.47,6.49,6.67,6.43,6.53,4005560
2015-09-04,5.35,6.35,6.5,6.25,6.38,4045340
2015-09-08,5.3,6.28,6.54,6.16,6.54,3090620
2015-09-09,5.21,6.18,6.38,6.17,6.29,4570800
2015-09-10,5.19,6.15,6.34,6.12,6.15,6396780
2015-09-11,5.2,6.17,6.23,6.12,6.19,4993300
2015-09-14,5.33,6.32,6.33,6.2,6.21,5545020
2015-09-15,5.35,6.35,6.38,6.27,6.34,6241820
2015-09-16,5.39,6.4,6.44,6.37,6.38,8956740
2015-09-17,5.43,6.44,6.58,6.42,6.43,9001460
2015-09-18,5.33,6.32,6.49,6.22,6.48,4952480
2015-09-21,5.27,6.25,6.46,6.24,6.45,2352740
2015-09-22,5.35,6.35,6.35,6.16,6.25,4559620
2015-09-23,5.3,6.26,6.37,6.22,6.37,4230720
2015-09-24,5.29,6.25,6.25,6.08,6.23,4278820
2015-09-25,5.13,6.07,6.3,6.06,6.24,5077280
2015-09-28,5.09,6.02,6.03,5.93,6.02,3895580
2015-09-29,5.04,5.96,6.07,5.93,5.94,3921320
2015-09-30,5.03,5.94,6.08,5.89,5.97,9410960
2015-10-01,5.17,6.11,6.13,5.96,5.96,2544100
2015-10-02,5.32,6.28,6.3,6.11,6.14,3989960
2015-10-05,5.45,6.44,6.49,6.32,6.42,3415360
2015-10-06,5.43,6.42,6.5,6.3,6.37,3137940
2015-10-07,5.48,6.48,6.62,6.43,6.53,4400500
2015-10-08,5.29,6.25,6.49,6.24,6.45,4895280
2015-10-09,5.19,6.14,6.35,5.99,6.35,5965440
2015-10-13,5.32,6.28,6.3,6.13,6.19,5886400
2015-10-14,5.25,6.21,6.33,6.2,6.28,5135520
2015-10-15,5.27,6.23,6.26,6.07,6.26,3016000
2015-10-16,5.21,6.15,6.27,6.1,6.27,3809520
2015-10-19,5.18,6.12,6.23,6.09,6.15,3874780
2015-10-20,5.19,6.13,6.16,6.0,6.12,4436380
2015-10-21,5.1,6.02,6.15,6.0,6.15,2705040
2015-10-22,5.16,6.1,6.12,6.02,6.02,3042000
2015-10-23,5.16,6.1,6.22,6.07,6.1,3302000
2015-10-26,5.09,6.02,6.13,5.96,6.06,3027180
2015-10-27,5.08,6.0,6.05,5.94,6.05,5716360
2015-10-28,4.93,5.83,5.88,5.8,5.88,1327820
2015-10-29,4.73,5.59,5.87,5.59,5.79,7052500
2015-10-30,4.69,5.54,5.66,5.49,5.61,5552820
2015-11-03,4.68,5.53,5.6,5.35,5.58,13520000
2015-11-04,4.68,5.53,5.73,5.51,5.53,5850000
2015-11-05,5.01,5.92,5.95,5.53,5.53,7158060
2015-11-06,4.9,5.79,5.97,5.77,5.92,5359640
2015-11-09,4.85,5.74,5.89,5.72,5.8,4523480
2015-11-10,4.71,5.57,5.74,5.39,5.73,10455640
2015-11-11,4.73,5.59,5.61,5.43,5.56,5462860
2015-11-12,4.64,5.48,5.59,5.46,5.59,6538480
2015-11-13,4.57,5.4,5.53,5.35,5.5,7088120
2015-11-16,4.62,5.46,5.51,5.4,5.41,4691440
2015-11-17,4.69,5.55,5.62,5.48,5.48,5218980
2015-11-18,4.6,5.43,5.59,5.43,5.56,3266900
2015-11-19,4.78,5.65,5.67,5.45,5.47,6540040
2015-11-23,4.78,5.65,5.74,5.62,5.69,4542460
2015-11-24,4.92,5.81,5.83,5.62,5.62,6020820
2015-11-25,5.02,5.94,5.95,5.75,5.81,5773560
2015-11-26,4.99,5.9,5.95,5.81,5.95,2773940
2015-11-27,5.1,6.02,6.02,5.86,5.88,4601220
2015-11-30,4.95,5.85,6.3,5.85,6.02,15144220
2015-12-01,5.17,6.11,6.11,5.91,5.92,6023940
2015-12-02,5.23,6.18,6.21,6.0,6.09,8338720
2015-12-03,5.37,6.35,6.37,6.12,6.2,6073860
2015-12-04,5.08,6.0,6.34,6.0,6.34,5639660
2015-12-07,5.25,6.2,6.22,6.0,6.0,3078920
2015-12-08,5.05,5.97,6.21,5.97,6.2,4248140
2015-12-09,5.03,5.94,6.14,5.91,6.05,9145760
2015-12-10,5.21,6.15,6.23,5.93,5.94,4011800
2015-12-11,5.34,6.32,6.32,6.07,6.19,4407520
2015-12-14,5.1,6.03,6.31,6.03,6.31,2999880
2015-12-15,5.01,5.92,6.15,5.85,6.07,4042220
2015-12-16,5.11,6.02,6.1,5.86,5.88,2828020
2015-12-17,5.03,5.92,6.13,5.92,6.07,3621020
2015-12-18,4.96,5.85,6.04,5.85,5.94,7468500
2015-12-21,4.96,5.84,6.0,5.81,5.88,5074680
2015-12-22,5.05,5.95,5.98,5.83,5.85,2987660
2015-12-23,5.08,5.98,6.11,5.95,5.97,2621840
2015-12-28,5.15,6.06,6.11,5.96,5.98,2321800
2015-12-29,5.09,5.99,6.08,5.92,6.0,5472740
2015-12-30,4.88,5.75,6.0,5.66,6.0,38969580
