Date,Adj Close,Close,High,Low,Open,Volume
2015-09-03,8.86,12.42,12.72,12.12,12.65,1764900
2015-09-04,8.88,12.45,12.49,12.2,12.33,1483200
2015-09-08,8.94,12.53,12.72,12.39,12.64,938600
2015-09-09,9.28,13.0,13.16,12.52,12.72,1523800
2015-09-10,9.29,13.02,13.02,12.38,12.49,1802100
2015-09-11,8.97,12.57,13.08,12.44,13.08,1085200
2015-09-14,9.28,13.0,13.35,12.38,12.64,1941500
2015-09-15,9.31,13.04,13.31,12.73,12.89,1191400
2015-09-16,9.67,13.55,13.6,13.13,13.13,2598900
2015-09-17,9.92,13.9,14.02,13.46,13.46,2698300
2015-09-18,9.63,13.5,13.92,13.31,13.9,2845200
2015-09-21,9.28,13.0,13.5,12.84,13.5,2629200
2015-09-22,8.76,12.28,12.91,11.7,12.91,3462200
2015-09-23,8.92,12.5,12.65,11.99,12.2,2276600
2015-09-24,8.91,12.49,12.8,12.06,12.2,1378100
2015-09-25,8.99,12.6,12.99,12.48,12.69,1473200
2015-09-28,9.01,12.63,12.63,12.19,12.51,1240300
2015-09-29,9.21,12.9,13.09,12.44,12.66,1494600
2015-09-30,10.06,14.1,14.2,13.1,13.27,2680200
2015-10-01,10.32,14.46,14.8,13.75,14.0,1760500
2015-10-02,11.18,15.67,15.9,14.25,14.46,1342900
2015-10-05,11.38,15.95,16.35,15.61,15.9,1154900
2015-10-06,10.58,14.83,16.2,14.55,16.06,1865600
2015-10-07,10.93,15.32,15.78,15.0,15.17,1412100
2015-10-08,11.56,16.2,16.39,15.25,15.3,1171200
2015-10-09,11.93,16.72,16.75,16.2,16.38,1148500
2015-10-13,11.46,16.06,16.98,15.48,16.68,1711400
2015-10-14,11.42,16.0,17.5,15.53,15.95,3979500
2015-10-15,11.85,16.61,16.8,16.14,16.23,2249400
2015-10-16,11.76,16.48,16.81,15.87,16.65,1515500
2015-10-19,11.82,16.56,16.56,15.95,16.48,997100
2015-10-20,12.3,17.23,17.25,16.54,16.66,2069500
2015-10-21,12.13,17.0,17.45,16.35,17.35,1095900
2015-10-22,12.09,16.94,17.38,16.66,17.13,697800
2015-10-23,12.12,16.99,17.4,16.87,17.25,1241700
2015-10-26,11.99,16.8,17.02,16.44,16.95,855600
2015-10-27,12.06,16.9,16.92,16.53,16.66,818800
2015-10-28,11.77,16.5,16.55,16.43,16.45,369700
2015-10-29,11.25,15.76,16.17,15.6,15.88,787000
2015-10-30,11.03,15.46,16.18,15.35,15.76,978000
2015-11-03,11.74,16.45,16.45,15.35,15.5,2749000
2015-11-04,11.81,16.55,17.0,16.45,16.6,2031200
2015-11-05,11.88,16.65,16.89,16.33,16.56,1612500
2015-11-06,11.1,15.55,16.65,15.41,16.65,1732900
2015-11-09,11.17,15.65,16.02,15.1,15.53,1159600
2015-11-10,11.11,15.57,15.59,15.21,15.58,1423800
2015-11-11,11.17,15.65,16.0,15.46,15.69,1291200
2015-11-12,11.18,15.67,16.21,15.44,15.5,2362100
2015-11-13,10.76,15.08,15.56,15.03,15.56,1344900
2015-11-16,10.74,15.05,15.19,14.75,15.0,1662000
2015-11-17,11.82,16.57,16.87,15.01,15.14,2183400
2015-11-18,11.7,16.4,16.53,15.92,16.53,1150700
2015-11-19,11.8,16.53,16.85,16.35,16.77,1303500
2015-11-23,11.95,16.75,16.85,16.63,16.75,1917700
2015-11-24,11.98,16.79,16.97,16.34,16.55,1222200
2015-11-25,11.75,16.47,17.08,16.24,16.54,1387200
2015-11-26,10.77,15.09,16.35,15.09,16.35,1643500
2015-11-27,10.0,14.01,15.19,14.01,15.01,1809700
2015-11-30,9.57,13.41,14.23,13.31,13.81,2791600
2015-12-01,9.78,13.71,13.94,13.34,13.58,2186600
2015-12-02,10.66,14.94,14.94,13.73,13.79,2537800
2015-12-03,10.92,15.3,15.76,14.96,14.96,1389200
2015-12-04,10.91,15.29,15.73,14.45,15.28,1323000
2015-12-07,11.0,15.42,15.99,15.33,15.41,1112200
2015-12-08,11.05,15.48,15.74,14.9,15.43,742000
2015-12-09,10.74,15.05,15.99,15.05,15.82,2505400
2015-12-10,10.59,14.84,15.18,14.53,15.14,877500
2015-12-11,10.49,14.7,15.53,14.6,14.6,1344200
2015-12-14,10.06,14.09,14.66,13.88,14.6,1094600
2015-12-15,10.28,14.4,14.68,14.11,14.11,934900
2015-12-16,10.28,14.4,14.46,13.91,14.3,1075000
2015-12-17,10.35,14.5,15.29,14.31,14.76,990700
2015-12-18,9.64,13.51,14.15,13.45,14.08,1487200
2015-12-21,9.92,13.9,14.09,13.58,13.64,1264100
2015-12-22,9.71,13.6,14.07,13.5,14.02,638600
2015-12-23,9.71,13.61,13.97,13.23,13.75,870600
2015-12-28,9.95,13.94,14.01,13.35,13.5,821200
2015-12-29,9.76,13.68,14.25,13.51,14.04,758600
2015-12-30,9.96,13.95,14.05,13.29,13.69,1163800
2016-01-04,9.92,13.9,14.04,13.48,13.85,830700
2016-01-05,8.89,12.46,14.0,12.46,14.0,1975900
2016-01-06,9.65,13.52,13.69,12.22,12.22,2627600
2016-01-07,9.6,13.45,13.81,13.11,13.46,1435100
2016-01-08,9.03,12.65,13.42,12.32,13.41,1547500
2016-01-11,9.28,13.0,13.45,12.55,12.56,1593800
2016-01-12,8.96,12.55,13.37,12.49,13.29,1018200
2016-01-13,8.92,12.5,13.06,12.39,12.7,1428900
2016-01-14,8.91,12.48,12.58,12.07,12.4,1163900
2016-01-15,8.78,12.3,12.46,12.15,12.15,1283100
2016-01-18,8.36,11.71,12.53,11.71,12.48,848000
2016-01-19,8.32,11.66,12.03,11.4,12.0,2160900
2016-01-20,8.14,11.4,11.61,11.21,11.5,1635900
2016-01-21,7.96,11.15,11.6,10.98,11.32,2188200
2016-01-22,7.85,11.0,11.32,10.9,11.23,2043300
2016-01-26,7.63,10.69,10.96,10.55,10.96,2283700
2016-01-27,7.69,10.77,11.14,10.72,10.9,4261000
2016-01-28,7.59,10.64,10.93,10.03,10.77,2615000
2016-01-29,8.36,11.71,11.71,10.59,10.75,2102700
2016-02-01,8.31,11.65,12.17,11.5,11.58,1636000
2016-02-02,8.08,11.32,11.84,11.25,11.7,1515300
2016-02-03,8.53,11.95,12.0,11.14,11.4,1258500
2016-02-04,8.88,12.44,12.7,11.99,12.0,1447700
2016-02-05,8.88,12.45,12.7,12.19,12.5,946400
2016-02-10,8.63,12.1,12.48,11.84,12.4,622900
2016-02-11,8.28,11.6,12.0,11.41,12.0,869600
2016-02-12,8.41,11.78,11.93,11.25,11.78,894800
2016-02-15,8.33,11.67,12.24,11.62,11.86,1236300
2016-02-16,8.72,12.22,12.27,11.39,11.74,1586900
2016-02-17,9.23,12.94,13.08,12.08,12.17,1531000
2016-02-18,8.9,12.47,13.06,12.2,12.9,1467800
2016-02-19,8.73,12.23,12.5,12.0,12.38,850300
2016-02-22,9.02,12.64,12.9,12.45,12.5,1051100
2016-02-23,8.92,12.5,12.88,12.34,12.55,652400
2016-02-24,8.75,12.26,12.38,11.62,12.38,795500
2016-02-25,8.53,11.95,12.14,11.68,12.14,623700
2016-02-26,8.83,12.38,12.5,11.86,12.02,1226600
2016-02-29,9.11,12.76,13.25,12.25,12.9,1179900
2016-03-01,9.56,13.4,13.7,12.92,12.95,1037900
2016-03-02,9.56,13.4,13.58,13.16,13.31,1251800
2016-03-03,9.99,14.0,14.34,13.36,13.5,3735800
2016-03-04,10.35,14.5,15.0,13.85,14.4,1803000
2016-03-07,10.6,14.85,15.21,14.14,14.62,2092300
2016-03-08,10.71,15.01,15.54,14.81,14.91,2524200
2016-03-09,10.7,14.99,15.48,14.76,15.12,1959100
2016-03-10,10.88,15.25,15.54,14.47,15.09,2489900
2016-03-11,9.84,13.79,15.2,13.69,15.2,2815400
2016-03-14,9.63,13.5,14.14,13.14,13.76,1531300
2016-03-15,8.67,12.15,13.32,12.12,13.32,1621700
2016-03-16,8.71,12.21,12.37,11.87,12.15,1295500
2016-03-17,8.94,12.53,13.31,12.51,13.0,2003100
2016-03-18,9.03,12.65,13.17,12.54,12.54,1529800
2016-03-21,8.84,12.39,12.99,12.3,12.8,1409500
2016-03-22,8.99,12.6,12.69,12.2,12.36,3563400
2016-03-23,8.59,12.04,12.67,12.04,12.53,1680200
2016-03-24,8.63,12.1,12.14,11.75,12.0,5971400
2016-03-28,8.02,11.24,12.3,11.24,12.25,2515400
2016-03-29,8.26,11.57,11.72,11.29,11.3,2491200
2016-03-30,8.55,11.98,12.41,11.7,11.72,2636400
2016-03-31,8.46,11.85,11.85,11.85,11.85,1000
2016-04-01,8.61,12.07,12.07,12.07,12.07,900
2016-04-04,8.31,11.65,11.65,11.65,11.65,2400
2016-04-05,8.37,11.73,11.73,11.73,11.73,1900
2016-04-06,8.32,11.66,11.66,11.66,11.66,6800
2016-04-07,8.41,11.78,11.78,11.78,11.78,400
2016-04-08,8.76,12.28,12.42,12.08,12.14,2280300
2016-04-11,8.6,12.05,12.05,12.05,12.05,1300
2016-04-12,8.95,12.54,12.54,12.54,12.54,2200
2016-04-13,8.72,12.22,12.22,12.22,12.22,37700
2016-04-14,8.21,11.5,12.33,11.5,12.2,5321400
2016-04-15,8.62,12.08,12.31,11.61,11.69,2750900
2016-04-18,8.51,11.93,12.3,11.74,12.11,1253800
2016-04-19,8.73,12.23,12.23,12.23,12.23,8200
2016-04-20,8.71,12.2,12.42,12.07,12.25,2437700
2016-04-22,8.28,11.6,12.17,11.47,12.0,2359200
2016-04-25,8.47,11.87,11.94,11.32,11.59,2605800
2016-04-26,8.66,12.14,12.2,11.9,11.95,1790700
2016-04-27,8.41,11.79,12.32,11.71,12.21,3277900
2016-04-28,8.37,11.35,11.72,10.91,11.68,2578100
2016-04-29,8.75,11.87,12.0,11.3,11.44,3420300
2016-05-02,9.01,12.22,12.28,11.9,12.0,3003200
2016-05-03,9.09,12.33,12.47,12.01,12.2,3093700
2016-05-04,8.78,11.91,12.48,11.82,12.45,6988100
