pair,a,b
ABEV3-ALOS3,ABEV3,ALOS3
ABEV3-ASAI3,ABEV3,ASAI3
ABEV3-AURE3,ABEV3,AURE3
ABEV3-AZZA3,ABEV3,AZZA3
ABEV3-B3SA3,ABEV3,B3SA3
ABEV3-BBAS3,ABEV3,BBAS3
ABEV3-BBDC3,ABEV3,BBDC3
ABEV3-BBDC4,ABEV3,BBDC4
ABEV3-BBSE3,ABEV3,BBSE3
ABEV3-BEEF3,ABEV3,BEEF3
ABEV3-BPAC11,ABEV3,BPAC11
ABEV3-BRAP4,ABEV3,BRAP4
ABEV3-BRAV3,ABEV3,BRAV3
ABEV3-BRFS3,ABEV3,BRFS3
ABEV3-BRKM5,ABEV3,BRKM5
ABEV3-CMIG4,ABEV3,CMIG4
ABEV3-CMIN3,ABEV3,CMIN3
ABEV3-COGN3,ABEV3,COGN3
ABEV3-CPFE3,ABEV3,CPFE3
ABEV3-CPLE6,ABEV3,CPLE6
ABEV3-CSAN3,ABEV3,CSAN3
ABEV3-CSNA3,ABEV3,CSNA3
ABEV3-CVCB3,ABEV3,CVCB3
ABEV3-CXSE3,ABEV3,CXSE3
ABEV3-CYRE3,ABEV3,CYRE3
ABEV3-DIRR3,ABEV3,DIRR3
ABEV3-EGIE3,ABEV3,EGIE3
ABEV3-ELET3,ABEV3,ELET3
ABEV3-ELET6,ABEV3,ELET6
ABEV3-EMBR3,ABEV3,EMBR3
ABEV3-ENEV3,ABEV3,ENEV3
ABEV3-ENGI11,ABEV3,ENGI11
ABEV3-EQTL3,ABEV3,EQTL3
ABEV3-FLRY3,ABEV3,FLRY3
ABEV3-GGBR4,ABEV3,GGBR4
ABEV3-GOAU4,ABEV3,GOAU4
ABEV3-HYPE3,ABEV3,HYPE3
ABEV3-IGTI11,ABEV3,IGTI11
ABEV3-ISAE4,ABEV3,ISAE4
ABEV3-ITSA4,ABEV3,ITSA4
ABEV3-ITUB4,ABEV3,ITUB4
ABEV3-KLBN11,ABEV3,KLBN11
ABEV3-LREN3,ABEV3,LREN3
ABEV3-MOTV3,ABEV3,MOTV3
ABEV3-MRFG3,ABEV3,MRFG3
ABEV3-MRVE3,ABEV3,MRVE3
ABEV3-MULT3,ABEV3,MULT3
ABEV3-NATU3,ABEV3,NATU3
ABEV3-PETR3,ABEV3,PETR3
ABEV3-PETR4,ABEV3,PETR4
ABEV3-PETZ3,ABEV3,PETZ3
ABEV3-POMO4,ABEV3,POMO4
ABEV3-PRIO3,ABEV3,PRIO3
ABEV3-PSSA3,ABEV3,PSSA3
ABEV3-RADL3,ABEV3,RADL3
ABEV3-RAIL3,ABEV3,RAIL3
ABEV3-RAIZ4,ABEV3,RAIZ4
ABEV3-RDOR3,ABEV3,RDOR3
ABEV3-RECV3,ABEV3,RECV3
ABEV3-RENT3,ABEV3,RENT3
ABEV3-SANB11,ABEV3,SANB11
ABEV3-SBSP3,ABEV3,SBSP3
ABEV3-SLCE3,ABEV3,SLCE3
ABEV3-SMFT3,ABEV3,SMFT3
ABEV3-SMTO3,ABEV3,SMTO3
ABEV3-STBP3,ABEV3,STBP3
ABEV3-TAEE11,ABEV3,TAEE11
ABEV3-TIMS3,ABEV3,TIMS3
ABEV3-TOTS3,ABEV3,TOTS3
ABEV3-UGPA3,ABEV3,UGPA3
ABEV3-USIM5,ABEV3,USIM5
ABEV3-VALE3,ABEV3,VALE3
ABEV3-VAMO3,ABEV3,VAMO3
ABEV3-VIVA3,ABEV3,VIVA3
ABEV3-VIVT3,ABEV3,VIVT3
ABEV3-WEGE3,ABEV3,WEGE3
ABEV3-YDUQ3,ABEV3,YDUQ3
ALOS3-ASAI3,ALOS3,ASAI3
ALOS3-AURE3,ALOS3,AURE3
ALOS3-AZZA3,ALOS3,AZZA3
ALOS3-B3SA3,ALOS3,B3SA3
ALOS3-BBAS3,ALOS3,BBAS3
ALOS3-BBDC3,ALOS3,BBDC3
ALOS3-BBDC4,ALOS3,BBDC4
ALOS3-BBSE3,ALOS3,BBSE3
ALOS3-BEEF3,ALOS3,BEEF3
ALOS3-BPAC11,ALOS3,BPAC11
ALOS3-BRAP4,ALOS3,BRAP4
ALOS3-BRAV3,ALOS3,BRAV3
ALOS3-BRFS3,ALOS3,BRFS3
ALOS3-BRKM5,ALOS3,BRKM5
ALOS3-CMIG4,ALOS3,CMIG4
ALOS3-CMIN3,ALOS3,CMIN3
ALOS3-COGN3,ALOS3,COGN3
ALOS3-CPFE3,ALOS3,CPFE3
ALOS3-CPLE6,ALOS3,CPLE6
ALOS3-CSAN3,ALOS3,CSAN3
ALOS3-CSNA3,ALOS3,CSNA3
ALOS3-CVCB3,ALOS3,CVCB3
ALOS3-CXSE3,ALOS3,CXSE3
ALOS3-CYRE3,ALOS3,CYRE3
ALOS3-DIRR3,ALOS3,DIRR3
ALOS3-EGIE3,ALOS3,EGIE3
ALOS3-ELET3,ALOS3,ELET3
ALOS3-ELET6,ALOS3,ELET6
ALOS3-EMBR3,ALOS3,EMBR3
ALOS3-ENEV3,ALOS3,ENEV3
ALOS3-ENGI11,ALOS3,ENGI11
ALOS3-EQTL3,ALOS3,EQTL3
ALOS3-FLRY3,ALOS3,FLRY3
ALOS3-GGBR4,ALOS3,GGBR4
ALOS3-GOAU4,ALOS3,GOAU4
ALOS3-HYPE3,ALOS3,HYPE3
ALOS3-IGTI11,ALOS3,IGTI11
ALOS3-ISAE4,ALOS3,ISAE4
ALOS3-ITSA4,ALOS3,ITSA4
